Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,5718
Base Time Seconds,1776944816
Base Time Fractional,.056689140
Base Time,04/23/2026 11:46:56.056689140
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
47507661.62375,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9992866516113,Volt DC,10,T,2W,F,F,0.000000000
49234784.03801,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9992980957031,Volt DC,10,T,2W,F,F,0.082719500
50327294.62502,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993038177490,Volt DC,10,T,2W,F,F,0.165445720
51010708.51128,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9992961883545,Volt DC,10,T,2W,F,F,0.248162660
51479219.19627,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9992866516113,Volt DC,10,T,2W,F,F,0.330880720
51859252.01803,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9992904663086,Volt DC,10,T,2W,F,F,0.413602300
52153815.15198,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993076324463,Volt DC,10,T,2W,F,F,0.496317020
52416271.46222,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993000030518,Volt DC,10,T,2W,F,F,0.579020700
52638465.04536,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993038177490,Volt DC,10,T,2W,F,F,0.661722900
52826624.0811,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993171691895,Volt DC,10,T,2W,F,F,0.744452400
52987068.02485,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993133544922,Volt DC,10,T,2W,F,F,0.827165620
53149791.13164,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993038177490,Volt DC,10,T,2W,F,F,0.909902400
53277137.61427,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993133544922,Volt DC,10,T,2W,F,F,0.992602440
53408425.55845,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993190765381,Volt DC,10,T,2W,F,F,1.075318680
53519390.20507,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993095397949,Volt DC,10,T,2W,F,F,1.158029480
53643667.29407,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993000030518,Volt DC,10,T,2W,F,F,1.240739920
53744624.74212,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993038177490,Volt DC,10,T,2W,F,F,1.323468760
53828920.0557,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993038177490,Volt DC,10,T,2W,F,F,1.406179680
53934790.96323,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993038177490,Volt DC,10,T,2W,F,F,1.488889960
54029313.49381,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993000030518,Volt DC,10,T,2W,F,F,1.571612500
54114503.76846,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993057250977,Volt DC,10,T,2W,F,F,1.654333680
54171166.25231,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993076324463,Volt DC,10,T,2W,F,F,1.737040200
54223790.05031,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9992942810059,Volt DC,10,T,2W,F,F,1.819745640
54271887.37133,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993152618408,Volt DC,10,T,2W,F,F,1.902470900
54347281.09801,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993114471436,Volt DC,10,T,2W,F,F,1.985177560
54425985.00335,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993038177490,Volt DC,10,T,2W,F,F,2.067888380
54478015.68505,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993038177490,Volt DC,10,T,2W,F,F,2.150607120
54545350.37379,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993038177490,Volt DC,10,T,2W,F,F,2.233327300
54600302.70869,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993095397949,Volt DC,10,T,2W,F,F,2.316051260
54633600.16073,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993057250977,Volt DC,10,T,2W,F,F,2.398763880
54717927.32332,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9992904663086,Volt DC,10,T,2W,F,F,2.481487480
54763911.88993,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9992923736572,Volt DC,10,T,2W,F,F,2.564201880
54800665.13314,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993133544922,Volt DC,10,T,2W,F,F,2.646905180
54849310.23594,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9992961883545,Volt DC,10,T,2W,F,F,2.729625260
54893678.78069,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9992980957031,Volt DC,10,T,2W,F,F,2.812359200
54928566.23517,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993038177490,Volt DC,10,T,2W,F,F,2.895068280
54936674.66173,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993019104004,Volt DC,10,T,2W,F,F,2.977773060
54979383.72485,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993190765381,Volt DC,10,T,2W,F,F,3.060491380
55009677.07129,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993114471436,Volt DC,10,T,2W,F,F,3.143207360
55053538.78747,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993133544922,Volt DC,10,T,2W,F,F,3.225917400
55098274.05135,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993000030518,Volt DC,10,T,2W,F,F,3.308632780
55127896.26794,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9992942810059,Volt DC,10,T,2W,F,F,3.391337220
55169951.50143,Ohm,100000000,5.5,F,F,F,F,F,F,Rear,F,Main,19.9993114471436,Volt DC,10,T,2W,F,F,3.474058520
